outcome,term,coefficient,std_error_hac,t_value,p_value,ci_low,ci_high
negative_price_flag_lpm,C(hour_utc)[T.12],-0.02372389249931712,0.010765224608679303,-2.2037526723028225,0.02754174264561247,-0.04482334501781285,-0.0026244399808213886
negative_price_flag_lpm,C(hour_utc)[T.13],-0.0186999170445478,0.010797086033875988,-1.7319410983552954,0.08328405028212238,-0.03986181680892515,0.0024619827198295516
negative_price_flag_lpm,C(hour_utc)[T.14],-0.0274291202047513,0.009653432330070207,-2.841385246914743,0.0044918014218044205,-0.046349499898883484,-0.008508740510619117
negative_price_flag_lpm,C(hour_utc)[T.15],-0.03148903445278235,0.008228030236954231,-3.827044085394446,0.0001296912941514678,-0.04761567738091921,-0.015362391524645493
negative_price_flag_lpm,C(hour_utc)[T.16],-0.023940606182195078,0.007636247741760686,-3.1351269618021984,0.001717797489188912,-0.03890737673307134,-0.008973835631318814
negative_price_flag_lpm,C(hour_utc)[T.17],-0.017814951764197628,0.006940788729911061,-2.5667042259080413,0.010267014620430307,-0.031418647699124815,-0.004211255829270443
negative_price_flag_lpm,C(hour_utc)[T.18],-0.013014308049799148,0.006925162766878043,-1.8792782910525254,0.060206504314589564,-0.02658737765995786,0.0005587615603595674
negative_price_flag_lpm,C(hour_utc)[T.19],-0.013628350885005079,0.0064774470126003824,-2.1039694895989514,0.03538110853771955,-0.026323913741468394,-0.0009327880285417631
negative_price_flag_lpm,C(hour_utc)[T.20],-0.015066584881266496,0.006336663351620726,-2.3776842867016,0.01742173509046159,-0.027486216832597988,-0.002646952929935005
negative_price_flag_lpm,C(hour_utc)[T.21],-0.023397784289438325,0.006537611594307467,-3.578949888948988,0.0003449776015630315,-0.03621126755919245,-0.010584301019684206
negative_price_flag_lpm,C(hour_utc)[T.22],-0.015832976919163175,0.0060755501466209895,-2.6060153462759135,0.009160235736471243,-0.02774083639280736,-0.00392511744551899
negative_price_flag_lpm,C(hour_utc)[T.23],-0.0013939329217604723,0.004881612955104115,-0.2855476119430985,0.7752246329304677,-0.010961718500228682,0.008173852656707737
negative_price_flag_lpm,C(day_of_week)[T.1],-0.010526610965899429,0.009188647479040166,-1.1456104927206354,0.25195635375915537,-0.028536029091452916,0.007482807159654058
negative_price_flag_lpm,C(day_of_week)[T.2],-0.018088129941604275,0.00768077553608779,-2.354987443210387,0.01852333161990766,-0.03314217336567267,-0.0030340865175358805
negative_price_flag_lpm,C(day_of_week)[T.3],-0.021262560906107345,0.007278865494975746,-2.9211366690020415,0.003487567995087763,-0.03552887512457112,-0.00699624668764357
negative_price_flag_lpm,C(day_of_week)[T.4],-0.02025839943018747,0.007968060616915594,-2.5424504662000698,0.011007820259019373,-0.03587551126597404,-0.004641287594400899
negative_price_flag_lpm,C(day_of_week)[T.5],-0.01664411995665849,0.011201569767281988,-1.4858738821833106,0.1373124831101581,-0.0385987932708439,0.00531055335752692
negative_price_flag_lpm,C(day_of_week)[T.6],0.04046996663601812,0.014869564639512979,2.721664528662598,0.006495404288741257,0.011326155476782371,0.06961377779525388
negative_price_flag_lpm,C(year)[T.2019],0.01454619307369619,0.0069010328664631925,2.1078284012217976,0.03504583522632546,0.0010204171993011216,0.02807196894809126
negative_price_flag_lpm,C(year)[T.2020],0.014357434090986033,0.007961620260236363,1.8033306816569763,0.0713362968519236,-0.0012470548776616509,0.029961923059633716
negative_price_flag_lpm,renewable_share_pct,0.0027981296026562087,0.00032183488600314293,8.694301719139556,3.4896923059372936e-18,0.0021673448171214945,0.003428914388190923
negative_price_flag_lpm,temperature_2m_c_mean,0.0003394793377302191,0.0003388545000193193,1.0018439705267725,0.31641895684920196,-0.00032466327830697376,0.001003621953767412
negative_price_flag_lpm,wind_speed_10m_kmh_mean,0.00193036007211559,0.0008643280539879446,2.2333650553271456,0.02552488064514983,0.00023630821547162726,0.003624411928759553
negative_price_flag_lpm,load_forecast_error_gw,-8.524084057828519e-05,0.0014523575495700716,-0.058691360542394176,0.953197940765429,-0.0029318093304104716,0.002761327649253901
