audited_at_utc,layer,dataset,batch_id,artifact_path,report_path,report_layer,rows,parquet_file_count,parquet_bytes,manifest_file_count,manifest_bytes,match_rate,status,failed_checks,check_count,passed_check_count,lineage_bronze_batch,lineage_silver_output,lineage_bronze_run,lineage_silver_batch,lineage_forecast_silver_batch,lineage_actual_weather_silver_batch
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T044138Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044138Z,,,,0,0,0,0,,WARN,"['report_present', 'manifest_present']",3,1,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T044220Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044220Z,,,,0,0,0,0,,WARN,"['report_present', 'manifest_present']",3,1,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T044321Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044321Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044321Z/country=de/bzn=DE-LU/manifest.jsonl,,,0,0,1,1450,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T044339Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044339Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044339Z/country=de/bzn=DE-LU/manifest.jsonl,,,0,0,1,5144,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T044724Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044724Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T044724Z/country=de/bzn=DE-LU/manifest.jsonl,,,0,0,1,5612,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T103913Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T103913Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T103913Z/country=de/bzn=DE-LU/manifest.jsonl,,,0,0,1,5613,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T110118Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T110118Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T110118Z/country=fr/bzn=FR/manifest.jsonl,,,0,0,1,5570,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T110203Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T110203Z,,,,0,0,0,0,,WARN,"['report_present', 'manifest_present']",3,1,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T110325Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T110325Z,,,,0,0,0,0,,WARN,"['report_present', 'manifest_present']",3,1,,,,,,
2026-08-16T11:06:30+00:00,bronze,energy_charts,20260816T110417Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T110417Z,data_lake/bronze/energy_charts/ingestion_date=20260816/batch_id=20260816T110417Z/country=at/bzn=AT/manifest.jsonl,,,0,0,1,5592,,COMPLETE,[],3,3,,,,,,
