outcome,term,coefficient,std_error_clustered_by_region,t_value,p_value,ci_low,ci_high
price_day_ahead_eur_mwh,C(year)[T.2016],-1.0023938054879828,2.533150897757677,-0.3957102620200372,0.6923187841842351,-5.967278332498334,3.962490721522369
price_day_ahead_eur_mwh,C(year)[T.2017],5.396649080128573,1.1949989922729252,4.516028143140087,6.301029397790355e-06,3.0544940937119813,7.738804066545165
price_day_ahead_eur_mwh,C(year)[T.2018],16.1806225522636,2.81755075551123,5.742797186745873,9.312524067668386e-09,10.65832454684797,21.702920557679228
price_day_ahead_eur_mwh,C(year)[T.2019],7.83499740957712,3.980791798381493,1.9682007516099354,0.04904494383420732,0.03278885479696214,15.637205964357278
price_day_ahead_eur_mwh,C(year)[T.2020],-4.825343709271813,4.256482849961671,-1.1336457538681883,0.25694317257584254,-13.167896796009094,3.517209377465468
price_day_ahead_eur_mwh,renewable_share_pct,-0.18030574452125545,0.04841067212074214,-3.7245040529813522,0.00019569956842356074,-0.2751889183452873,-0.08542257069722357
price_day_ahead_eur_mwh,load_forecast_error_gw,0.2225846791065144,0.2856522252537424,0.7792156315561496,0.43585270354118133,-0.3372833944945436,0.7824527527075723
negative_price_flag,Intercept,0.012825780150441932,0.0033166374040930315,3.8671035111084966,0.00011013568803128771,0.0063252902886411725,0.019326270012242693
negative_price_flag,C(region)[T.DE_LU],0.000983556016565406,0.0038657454685897693,0.2544285506009295,0.7991644963173619,-0.0065931658752694565,0.008560277908400268
negative_price_flag,C(region)[T.DK_1],-0.028317855731724056,0.009781084515943622,-2.8951652227894193,0.0037895901113209046,-0.047488429112715946,-0.009147282350732169
negative_price_flag,C(region)[T.DK_2],-0.012789166161017825,0.0024922775780073826,-5.1315175620377635,2.874154018902463e-07,-0.01767394045338901,-0.007904391868646641
negative_price_flag,C(region)[T.GB_GBN],-0.012084302131321018,0.001154155385579834,-10.47025580983622,1.1832282128341543e-25,-0.014346405119620431,-0.009822199143021605
negative_price_flag,C(region)[T.IT_NORD],-0.008671680641408074,0.0018609667208007938,-4.65977201229937,3.165598124179984e-06,-0.012319108390605236,-0.005024252892210911
negative_price_flag,C(hour_utc)[T.1],0.003319975491610864,0.0011565162529361527,2.8706691178633603,0.004096040270365752,0.0010532452883207895,0.005586705694900939
negative_price_flag,C(hour_utc)[T.2],0.003666763305817983,0.0012168622810779382,3.0132935853429843,0.0025842877768230917,0.001281757060759968,0.006051769550875998
negative_price_flag,C(hour_utc)[T.3],0.0016898585978711144,0.0006266457607103289,2.696672831482319,0.00700360429727982,0.0004616554758141648,0.002918061719928064
negative_price_flag,C(hour_utc)[T.4],-0.0018290903300319863,0.001068401309111025,-1.7119881026296204,0.08689886100829762,-0.003923118416925041,0.0002649377568610684
negative_price_flag,C(hour_utc)[T.5],-0.0014819544573593858,0.0010200507559837992,-1.45282423317269,0.14627256180358442,-0.003481217201490487,0.0005173082867717155
negative_price_flag,C(hour_utc)[T.6],-0.004620915228522014,0.0019190279790674723,-2.407945730300134,0.01604256556654416,-0.008382140952818945,-0.0008596895042250838
negative_price_flag,C(hour_utc)[T.7],-0.006745708302867086,0.0024257424303646856,-2.780883995937251,0.0054211104725678996,-0.011500076102152531,-0.001991340503581642
negative_price_flag,C(hour_utc)[T.8],-0.007449337808024165,0.0023912303738062167,-3.115273998534385,0.0018377411514862024,-0.0121360632194226,-0.00276261239662573
negative_price_flag,C(hour_utc)[T.9],-0.008240784764256244,0.0022735067375922974,-3.624702151964348,0.0002892946623611831,-0.012696776088546302,-0.0037847934399661857
negative_price_flag,C(hour_utc)[T.10],-0.008226640621093365,0.001968962656879853,-4.178159800211669,2.93877155884886e-05,-0.012085736515482172,-0.004367544726704557
negative_price_flag,C(hour_utc)[T.11],-0.005065405508496788,0.002148994017007451,-2.3571054495305397,0.01841801591215624,-0.009277356384823448,-0.0008534546321701279
negative_price_flag,C(hour_utc)[T.12],-0.0030064966470371764,0.0022135228553760164,-1.3582406161902745,0.174387346499572,-0.007344921722530431,0.0013319284284560784
negative_price_flag,C(hour_utc)[T.13],-0.0020789847943646937,0.002084870068709362,-0.9971771505414189,0.31867852985640754,-0.006165255041480591,0.002007285452751204
