location,horizon_bin,horizon_bin_start_hours,variable,variable_label,n,bias_forecast_minus_actual,mae,rmse
frankfurt,72-95h,72,temperature,Temperature,24,-0.5124999999999998,1.3124999999999998,1.5907283447108957
frankfurt,72-95h,72,wind_speed,Wind speed,24,-1.6916666666666664,1.9833333333333332,2.3609673158827644
frankfurt,72-95h,72,shortwave_radiation,Shortwave radiation,24,29.375,30.875,55.2030343368913
frankfurt,72-95h,72,precipitation,Precipitation,24,0.0,0.0,0.0
frankfurt,96-119h,96,temperature,Temperature,24,-1.5625,1.5791666666666666,1.8640234261761124
frankfurt,96-119h,96,wind_speed,Wind speed,24,-0.5416666666666665,1.9583333333333333,2.287465846739575
frankfurt,96-119h,96,shortwave_radiation,Shortwave radiation,24,-32.166666666666664,57.875,99.55790191307436
frankfurt,96-119h,96,precipitation,Precipitation,24,0.09083333333333334,0.13333333333333333,0.2467117075995111
luxembourg,0-23h,0,temperature,Temperature,24,-0.22083333333333321,0.4791666666666667,0.5645794895318108
luxembourg,0-23h,0,wind_speed,Wind speed,24,-0.07916666666666654,1.7375,2.081165538826741
luxembourg,0-23h,0,shortwave_radiation,Shortwave radiation,23,18.347826086956523,48.26086956521739,74.91154203749102
luxembourg,0-23h,0,precipitation,Precipitation,23,-0.08695652173913043,0.12173913043478261,0.18881783261398666
luxembourg,120-143h,120,temperature,Temperature,24,-4.183333333333334,4.183333333333334,4.309485661499138
luxembourg,120-143h,120,wind_speed,Wind speed,24,-1.2958333333333332,2.5541666666666667,2.8984909867032536
luxembourg,120-143h,120,shortwave_radiation,Shortwave radiation,24,-57.17083333333333,110.39583333333333,158.7406808288285
luxembourg,120-143h,120,precipitation,Precipitation,24,-0.000416666666666667,0.007916666666666667,0.023003622903070436
luxembourg,144-167h,144,temperature,Temperature,24,-2.7875,2.8125,3.264391214300149
luxembourg,144-167h,144,wind_speed,Wind speed,24,-3.1875,3.245833333333333,3.8582703378586625
luxembourg,144-167h,144,shortwave_radiation,Shortwave radiation,24,-28.879166666666663,39.25416666666667,62.08803897155501
luxembourg,144-167h,144,precipitation,Precipitation,24,0.0,0.0,0.0
luxembourg,168-191h,168,temperature,Temperature,24,-2.529166666666667,3.845833333333333,4.579892647941289
luxembourg,168-191h,168,wind_speed,Wind speed,24,-0.7958333333333334,2.379166666666667,2.988798532297998
luxembourg,168-191h,168,shortwave_radiation,Shortwave radiation,24,-191.4125,191.4125,292.04100240091856
luxembourg,168-191h,168,precipitation,Precipitation,24,0.62875,0.62875,0.9891979073977056
luxembourg,192-215h,192,temperature,Temperature,24,-1.2250000000000005,2.941666666666667,3.3648922716782486
luxembourg,192-215h,192,wind_speed,Wind speed,24,3.1208333333333336,4.5875,5.347935738831074
luxembourg,192-215h,192,shortwave_radiation,Shortwave radiation,24,-160.17083333333332,160.17083333333332,234.50544503273267
luxembourg,192-215h,192,precipitation,Precipitation,24,0.24250000000000002,0.24250000000000002,0.4880317612614982
luxembourg,216-239h,216,temperature,Temperature,24,-0.008333333333333378,1.9249999999999996,2.2529610146057415
luxembourg,216-239h,216,wind_speed,Wind speed,24,-0.6124999999999996,5.470833333333334,6.188665715106394
luxembourg,216-239h,216,shortwave_radiation,Shortwave radiation,24,20.912499999999998,55.17083333333333,91.40527656176822
luxembourg,216-239h,216,precipitation,Precipitation,24,-0.014583333333333335,0.07291666666666667,0.13452075428473234
luxembourg,24-47h,24,temperature,Temperature,24,0.4416666666666665,0.7583333333333332,0.8722576072086348
luxembourg,24-47h,24,wind_speed,Wind speed,24,0.8333333333333334,1.9749999999999999,2.4001736048322284
luxembourg,24-47h,24,shortwave_radiation,Shortwave radiation,24,30.291666666666668,35.041666666666664,56.276475250913386
luxembourg,24-47h,24,precipitation,Precipitation,24,0.020833333333333332,0.020833333333333332,0.045643546458763846
luxembourg,48-71h,48,temperature,Temperature,24,-1.3458333333333332,1.3624999999999998,1.6478521373796458
luxembourg,48-71h,48,wind_speed,Wind speed,24,0.9125,1.5208333333333333,1.842213342694054
luxembourg,48-71h,48,shortwave_radiation,Shortwave radiation,24,-33.583333333333336,37.833333333333336,75.19031409253012
luxembourg,48-71h,48,precipitation,Precipitation,24,0.0,0.0,0.0
luxembourg,72-95h,72,temperature,Temperature,24,-0.9625,1.0125,1.3008010352599408
luxembourg,72-95h,72,wind_speed,Wind speed,24,-1.1833333333333333,2.5,2.787770913591478
luxembourg,72-95h,72,shortwave_radiation,Shortwave radiation,24,40.083333333333336,42.65833333333333,77.86441741899826
luxembourg,72-95h,72,precipitation,Precipitation,24,0.0,0.008333333333333333,0.02886751345948129
luxembourg,96-119h,96,temperature,Temperature,24,-1.6500000000000001,1.6500000000000001,1.8821530224718712
luxembourg,96-119h,96,wind_speed,Wind speed,24,2.058333333333333,2.8416666666666663,3.2599846625406075
luxembourg,96-119h,96,shortwave_radiation,Shortwave radiation,24,-11.629166666666663,66.94583333333333,100.04917332658643
luxembourg,96-119h,96,precipitation,Precipitation,24,0.059166666666666666,0.10333333333333335,0.14300349646075092
