model,outcome,term,coefficient,std_error_hac24,t_value,p_value_hac24,ci_low,ci_high,n,r_squared
price_level_baseline,price_day_ahead,C(day_of_week)[T.1],-9.179164288335164,3.572173007521945,-2.569630381565099,0.010180707355941317,-16.180494729624304,-2.177833847046024,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(day_of_week)[T.2],-4.773699951348389,4.311975793461207,-1.107079487456157,0.2682595633038787,-13.225017208740878,3.6776173060441,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(day_of_week)[T.3],-20.486846528867392,7.126456813270344,-2.8747590935678375,0.004043358744328971,-34.454445220257355,-6.519247837477433,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(day_of_week)[T.4],-22.071533929992608,4.732445318384809,-4.663875110029936,3.10309750125889e-06,-31.346956312832024,-12.796111547153192,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(day_of_week)[T.5],-17.47217104538076,4.979702636318272,-3.5086775900937646,0.00045034046482929124,-27.232208866283734,-7.712133224477789,239,0.9205822869459259
price_level_baseline,price_day_ahead,C(day_of_week)[T.6],-27.00702868390342,7.361261140410808,-3.668804593229829,0.00024368724274791815,-41.43483539990285,-12.579221967903992,239,0.9205822869459259
price_level_baseline,price_day_ahead,z_temperature_absolute_error,1.4081038601645903,2.288295376650682,0.6153505681707906,0.5383232288431333,-3.076872664060264,5.893080384389444,239,0.9205822869459259
price_level_baseline,price_day_ahead,z_wind_speed_absolute_error,-1.9046372416186408,0.9859569828854805,-1.93176505129521,0.05338851153352247,-3.837077418379957,0.0278029351426754,239,0.9205822869459259
price_level_baseline,price_day_ahead,z_shortwave_radiation_absolute_error,-1.5192271114446247,2.305159467256032,-0.6590551035729649,0.5098603844897573,-6.037256645887985,2.998802422998735,239,0.9205822869459259
price_level_baseline,price_day_ahead,z_precipitation_absolute_error,-0.3854386921953129,1.6036345286863503,-0.24035320099465107,0.8100564550670913,-3.5285046127854236,2.757627228394798,239,0.9205822869459259
price_level_baseline,price_day_ahead,z_load_forecast_error_mw,1.870200227474196,3.600890237903128,0.5193716286568212,0.6035016120428363,-5.187414951097802,8.927815406046195,239,0.9205822869459259
price_level_baseline,price_day_ahead,z_solar_forecast_error_mw,-4.650176287231509,2.1698031571187246,-2.143132786942049,0.032102437416884205,-8.902912328725513,-0.3974402457375046,239,0.9205822869459259
price_level_baseline,price_day_ahead,z_wind_onshore_forecast_error_mw,3.633438588702069,2.222352870619883,1.6349512432238495,0.1020592689880296,-0.722292998652105,7.989170176056243,239,0.9205822869459259
price_level_baseline,price_day_ahead,z_actual_residual_load,35.955250938478294,4.002663775951545,8.982830672538997,2.6388846750120935e-19,28.110174095390164,43.80032778156642,239,0.9205822869459259
price_level_regime_interactions,price_day_ahead,Intercept,72.50728827182704,5.613563485934962,12.916445757404782,3.6355071660737673e-38,61.50490601446539,83.50967052918868,239,0.9232830145428738
